iter	Passed	Remaining
408	5590	8077
409	5604	8064
410	5617	8049
411	5630	8036
412	5644	8022
413	5658	8009
414	5672	7996
415	5686	7983
416	5701	7970
417	5714	7957
418	5729	7944
419	5743	7931
420	5757	7917
421	5771	7905
422	5786	7893
423	5802	7882
424	5815	7868
425	5828	7852
426	5840	7838
427	5855	7824
428	5869	7811
429	5883	7799
430	5897	7785
431	5909	7770
432	5923	7756
433	5936	7741
434	5949	7727
435	5963	7713
436	5977	7700
437	5990	7687
438	6007	7676
439	6026	7669
440	6044	7662
441	6062	7653
442	6078	7643
443	6093	7630
444	6110	7620
445	6126	7609
446	6142	7598
447	6157	7586
448	6171	7573
449	6185	7559
450	6198	7545
451	6214	7533
452	6228	7520
453	6241	7506
454	6255	7492
455	6269	7478
456	6282	7464
457	6294	7449
458	6309	7437
459	6324	7424
460	6338	7410
461	6352	7397
462	6365	7382
463	6379	7369
464	6393	7355
465	6407	7342
466	6420	7327
467	6436	7316
468	6451	7304
469	6465	7291
470	6479	7277
471	6494	7265
472	6508	7251
473	6521	7236
474	6534	7222
475	6548	7209
476	6563	7196
477	6576	7181
478	6591	7168
479	6605	7155
480	6620	7143
481	6635	7130
482	6649	7117
483	6663	7103
484	6677	7090
485	6690	7076
486	6704	7062
487	6718	7049
488	6731	7034
489	6744	7020
490	6758	7005
491	6772	6992
492	6785	6977
493	6797	6963
494	6811	6948
495	6825	6935
496	6838	6920
497	6848	6903
498	6858	6885
499	6867	6867
500	6877	6850
501	6886	6831
502	6898	6815
503	6909	6800
504	6919	6782
505	6930	6765
506	6940	6749
507	6951	6732
508	6961	6715
509	6973	6699
510	6983	6682
511	6995	6667
512	7006	6650
513	7018	6635
514	7029	6619
515	7041	6604
516	7052	6589
517	7063	6573
518	7074	6556
519	7085	6540
520	7096	6524
521	7106	6507
522	7118	6491
523	7127	6474
524	7138	6458
525	7148	6441
526	7159	6425
527	7169	6409
528	7180	6392
529	7189	6375
530	7200	6359
531	7210	6343
532	7220	6326
533	7230	6309
534	7241	6293
535	7250	6276
536	7259	6259
537	7271	6243
538	7279	6226
539	7289	6209
540	7300	6193
541	7309	6176
542	7320	6161
543	7331	6145
544	7341	6129
545	7351	6112
546	7363	6098
547	7374	6082
548	7383	6065
549	7394	6050
550	7405	6034
551	7416	6019
552	7427	6003
553	7437	5987
554	7449	5972
555	7459	5956
556	7470	5941
557	7479	5924
558	7489	5908
559	7501	5893
560	7514	5880
561	7526	5865
562	7538	5851
563	7548	5835
564	7559	5820
565	7570	5804
566	7580	5788
567	7590	5772
568	7600	5756
569	7609	5740
570	7620	5725
571	7630	5709
572	7641	5694
573	7652	5679
574	7663	5664
575	7675	5649
576	7685	5634
577	7696	5618
578	7705	5602
579	7716	5588
580	7726	5572
581	7737	5557
582	7748	5542
583	7759	5527
584	7770	5512
585	7780	5496
586	7791	5481
587	7802	5467
588	7813	5452
589	7824	5437
590	7837	5424
591	7849	5409
592	7860	5394
593	7872	5380
594	7883	5366
595	7894	5351
596	7905	5336
597	7916	5321
598	7925	5305
599	7936	5290
600	7946	5275
601	7956	5260
602	7967	5245
603	7977	5230
